,Original,Imputed
Decision Tree,0.6738413961806383,0.6670721320453904
Logistic,0.7927435326373742,0.7861427378544505
Logistic (SMOTE),0.8674450891562906,0.8674450891562906
Logistic (Elastic),0.7932021301811204,0.7868615359253445
Ada Boost,0.8173400617387456,0.8043600755212438
